PV,Hydropower
0,-0.534880066
0,-0.77822216
0,-0.809962433
0,-0.767642069
0,-0.831122615
0,-0.767642069
0,-0.481979611
0,-0.630100885
0,-0.767642069
0,-0.820542524
0,-0.757061978
0,-0.524299975
0,-0.386758791
0,-0.17515697
0,-0.164576879
0,-0.47139952
0,0.057605033
0,0.078765215
0,-0.153996788
0,0.015284669
0,-0.47139952
0,-0.725321705
0,-0.799382342
0,-0.820542524
0,-0.77822216
0,-0.841702706
0,-0.598360612
0,-0.534880066
0,-0.77822216
0,-0.788802251
0,-0.799382342
0,-0.460819429
0.003313,-0.524299975
0.003313,-0.238637517
0.003313,-0.217477334
0.003313,-0.513719884
0.07287,-0.302118063
0.07287,-0.291537972
0.07287,-0.651261067
0.07287,-0.788802251
0.050522,-0.524299975
0.050522,-0.556040248
0.050522,-0.809962433
0.050522,-0.77822216
0.0092174,-0.841702706
0.0092174,-0.767642069
0.0092174,-0.809962433
0.0092174,-0.481979611
0.18283,-0.598360612
0.18283,-0.799382342
0.18283,-0.767642069
0.18283,-0.735901796
0.14283,-0.450239338
0.14283,-0.513719884
0.14283,-0.132836606
0.14283,-0.323278245
0.32222,-0.492559702
0.32222,-0.450239338
0.32222,-0.725321705
0.32222,-0.757061978
0.065174,-0.77822216
0.065174,-0.439659246
0.065174,-0.418499064
0.065174,-0.365598609
0.0001913,-0.460819429
0.0001913,-0.333858336
0.0001913,-0.291537972
0.0001913,-0.058775969
0,0.195146216
0,-0.090516242
0,0.099925397
0,-0.249217608
0,-0.027035696
0,-0.418499064
0,-0.312698154
0,-0.132836606
0,-0.450239338
0,-0.439659246
0,-0.058775969
0,-0.757061978
0,-0.725321705
0,-0.57720043
0,-0.492559702
0,-0.809962433
0,-0.767642069
0,-0.27037779
0,-0.143416697
0,-0.016455605
0,0.13166567
0,0.068185124
0,-0.153996788
0,-0.122256515
0,-0.513719884
0,-0.619520794
0,-0.3761787
0,-0.17515697
0,-0.333858336
0,-0.481979611
0,-0.439659246
0,-0.429079155
0,-0.503139793
0,-0.556040248
0,-0.524299975
0,-0.767642069
0,-0.77822216
0,-0.820542524
0,-0.767642069
0,-0.831122615
0,-0.503139793
0,-0.630100885
0,-0.767642069
0,-0.799382342
0,-0.259797699
0,-0.079936151
0,-0.153996788
0,-0.122256515
0,-0.492559702
0,-0.492559702
0,-0.450239338
0,-0.524299975
0,-0.450239338
0,-0.67242125
0,-0.47139952
0,1.274315504
0,11.61106446
0,2.036082059
0,-0.196317152
0,-0.079936151
0.0088696,0.047024942
0.0088696,0.248046672
0.0088696,-0.090516242
0.0088696,-0.365598609
0.437,-0.143416697
0.437,-0.058775969
0.437,0.311527218
0.437,0.237466581
0.50752,0.269206854
0.50752,0.036444851
0.50752,0.047024942
0.50752,0.068185124
0.41713,0.078765215
0.41713,-0.101096333
0.41713,-0.111676424
0.41713,0.057605033
0.1347,-0.47139952
0.1347,-0.481979611
0.1347,-0.217477334
0.1347,-0.037615787
0.10791,-0.090516242
0.10791,-0.27037779
0.10791,0.068185124
0.10791,-0.439659246
0.096174,-0.386758791
0.096174,0.110505488
0.096174,-0.312698154
0.096174,-0.164576879
0.03,0.047024942
0.03,-0.344438427
0.03,-0.312698154
0.03,-0.365598609
0.00052174,-0.556040248
0.00052174,-0.651261067
0.00052174,-0.439659246
0.00052174,-0.397338882
0,-0.714741614
0,-0.651261067
0,-0.683001341
0,-0.67242125
0,-0.566620339
0,-0.407918973
0,-0.312698154
0,-0.397338882
0,-0.323278245
0,-0.355018518
0,-0.238637517
0,0.078765215
0,-0.090516242
0,-0.249217608
0,-0.619520794
0,-0.429079155
0,-0.323278245
0,-0.238637517
0,0.353847582
0,0.184566125
0,0.290367036
0,0.142245761
0,-0.143416697
0,-0.122256515
0,-0.460819429
0,-0.153996788
0,-0.460819429
0,-0.439659246
0,-0.492559702
