Datum, kW 
1/1/2021 0:15,5.02
1/1/2021 0:30,5.56
1/1/2021 0:45,5.07
1/1/2021 1:00,4.72
1/1/2021 1:15,4.62
1/1/2021 1:30,4.47
1/1/2021 1:45,4.52
1/1/2021 2:00,4.12
1/1/2021 2:15,5.71
1/1/2021 2:30,4.27
1/1/2021 2:45,4.87
1/1/2021 3:00,4.27
1/1/2021 3:15,4.72
1/1/2021 3:30,4.17
1/1/2021 3:45,4.62
1/1/2021 4:00,4.72
1/1/2021 4:15,4.57
1/1/2021 4:30,4.82
1/1/2021 4:45,4.57
1/1/2021 5:00,4.02
1/1/2021 5:15,5.61
1/1/2021 5:30,4.82
1/1/2021 5:45,4.42
1/1/2021 6:00,4.12
1/1/2021 6:15,4.17
1/1/2021 6:30,4.82
1/1/2021 6:45,5.41
1/1/2021 7:00,4.77
1/1/2021 7:15,4.62
1/1/2021 7:30,3.82
1/1/2021 7:45,4.37
1/1/2021 8:00,4.82
1/1/2021 8:15,4.37
1/1/2021 8:30,5.46
1/1/2021 8:45,8.74
1/1/2021 9:00,11.42
1/1/2021 9:15,10.88
1/1/2021 9:30,10.38
1/1/2021 9:45,10.73
1/1/2021 10:00,10.08
1/1/2021 10:15,10.53
1/1/2021 10:30,10.13
1/1/2021 10:45,10.38
1/1/2021 11:00,10.28
1/1/2021 11:15,10.68
1/1/2021 11:30,10.98
1/1/2021 11:45,11.27
1/1/2021 12:00,10.43
1/1/2021 12:15,10.53
1/1/2021 12:30,10.08
1/1/2021 12:45,10.28
1/1/2021 13:00,10.83
1/1/2021 13:15,10.08
1/1/2021 13:30,10.68
1/1/2021 13:45,10.78
1/1/2021 14:00,10.73
1/1/2021 14:15,11.23
1/1/2021 14:30,10.63
1/1/2021 14:45,10.58
1/1/2021 15:00,11.08
1/1/2021 15:15,10.53
1/1/2021 15:30,11.42
1/1/2021 15:45,10.68
1/1/2021 16:00,10.98
1/1/2021 16:15,11.62
1/1/2021 16:30,10.53
1/1/2021 16:45,10.88
1/1/2021 17:00,10.88
1/1/2021 17:15,10.83
1/1/2021 17:30,10.43
1/1/2021 17:45,10.83
1/1/2021 18:00,10.78
1/1/2021 18:15,7.85
1/1/2021 18:30,5.41
1/1/2021 18:45,4.42
1/1/2021 19:00,4.27
1/1/2021 19:15,4.57
1/1/2021 19:30,4.47
1/1/2021 19:45,4.22
1/1/2021 20:00,4.77
1/1/2021 20:15,4.37
1/1/2021 20:30,4.77
1/1/2021 20:45,4.42
1/1/2021 21:00,4.47
1/1/2021 21:15,4.87
1/1/2021 21:30,4.52
1/1/2021 21:45,5.17
1/1/2021 22:00,6.66
1/1/2021 22:15,4.72
1/1/2021 22:30,4.47
1/1/2021 22:45,4.37
1/1/2021 23:00,4.67
1/1/2021 23:15,4.72
1/1/2021 23:30,4.42
1/1/2021 23:45,4.17
1/2/2021 0:00,4.57
1/2/2021 0:15,4.47
1/2/2021 0:30,4.42
1/2/2021 0:45,3.97
1/2/2021 1:00,4.62
1/2/2021 1:15,4.47
1/2/2021 1:30,4.77
1/2/2021 1:45,4.32
1/2/2021 2:00,4.07
1/2/2021 2:15,5.07
1/2/2021 2:30,5.26
1/2/2021 2:45,4.02
1/2/2021 3:00,4.22
1/2/2021 3:15,4.62
1/2/2021 3:30,4.47
1/2/2021 3:45,4.62
1/2/2021 4:00,4.47
1/2/2021 4:15,4.87
1/2/2021 4:30,5.07
1/2/2021 4:45,4.27
1/2/2021 5:00,4.07
1/2/2021 5:15,4.62
1/2/2021 5:30,6.01
1/2/2021 5:45,4.57
1/2/2021 6:00,4.22
1/2/2021 6:15,4.52
1/2/2021 6:30,4.42
1/2/2021 6:45,4.02
1/2/2021 7:00,4.97
1/2/2021 7:15,4.67
1/2/2021 7:30,4.97
1/2/2021 7:45,4.77
1/2/2021 8:00,4.47
1/2/2021 8:15,4.77
1/2/2021 8:30,4.62
1/2/2021 8:45,4.22
1/2/2021 9:00,4.22
1/2/2021 9:15,6.26
1/2/2021 9:30,4.47
1/2/2021 9:45,4.22
1/2/2021 10:00,4.52
1/2/2021 10:15,4.57
1/2/2021 10:30,4.17
1/2/2021 10:45,5.41
1/2/2021 11:00,3.92
1/2/2021 11:15,4.57
1/2/2021 11:30,4.37
1/2/2021 11:45,4.47
1/2/2021 12:00,4.47
1/2/2021 12:15,4.77
1/2/2021 12:30,4.47
1/2/2021 12:45,5.36
1/2/2021 13:00,5.36
1/2/2021 13:15,5.36
1/2/2021 13:30,4.67
