Datum,KW
1/1/2021 0:15,124.5
1/1/2021 0:30,78.3
1/1/2021 0:45,46.2
1/1/2021 1:00,51.4
1/1/2021 1:15,74.9
1/1/2021 1:30,111.8
1/1/2021 1:45,66.4
1/1/2021 2:00,27.4
1/1/2021 2:15,61.4
1/1/2021 2:30,78.8
1/1/2021 2:45,99.2
1/1/2021 3:00,68
1/1/2021 3:15,48.3
1/1/2021 3:30,69.4
1/1/2021 3:45,40.5
1/1/2021 4:00,54.8
1/1/2021 4:15,80.7
1/1/2021 4:30,79.6
1/1/2021 4:45,29
1/1/2021 5:00,33
1/1/2021 5:15,106.7
1/1/2021 5:30,74.8
1/1/2021 5:45,22.6
1/1/2021 6:00,24.3
1/1/2021 6:15,84.5
1/1/2021 6:30,75.7
1/1/2021 6:45,20.5
1/1/2021 7:00,48.8
1/1/2021 7:15,44
1/1/2021 7:30,47.2
1/1/2021 7:45,60.8
1/1/2021 8:00,75.3
1/1/2021 8:15,35.2
1/1/2021 8:30,19.7
1/1/2021 8:45,88.6
1/1/2021 9:00,62.5
1/1/2021 9:15,56.1
1/1/2021 9:30,18.8
1/1/2021 9:45,28.6
1/1/2021 10:00,27.5
1/1/2021 10:15,86.3
1/1/2021 10:30,82.3
1/1/2021 10:45,32.8
1/1/2021 11:00,63.6
1/1/2021 11:15,69.4
1/1/2021 11:30,65.6
1/1/2021 11:45,81.9
1/1/2021 12:00,81.2
1/1/2021 12:15,67.9
1/1/2021 12:30,57.8
1/1/2021 12:45,102.7
1/1/2021 13:00,120.2
1/1/2021 13:15,85.4
1/1/2021 13:30,31.7
1/1/2021 13:45,46.3
1/1/2021 14:00,116.8
1/1/2021 14:15,121.9
1/1/2021 14:30,90.3
1/1/2021 14:45,37.1
1/1/2021 15:00,67.9
1/1/2021 15:15,119.7
1/1/2021 15:30,113
1/1/2021 15:45,126
1/1/2021 16:00,71.5
1/1/2021 16:15,23.4
1/1/2021 16:30,70
1/1/2021 16:45,123.2
1/1/2021 17:00,117.7
1/1/2021 17:15,59.8
1/1/2021 17:30,26.9
1/1/2021 17:45,70.4
1/1/2021 18:00,125.4
1/1/2021 18:15,114.5
1/1/2021 18:30,91.7
1/1/2021 18:45,24.5
1/1/2021 19:00,53.6
1/1/2021 19:15,92.7
1/1/2021 19:30,118.4
1/1/2021 19:45,82.9
1/1/2021 20:00,49.1
1/1/2021 20:15,69.3
1/1/2021 20:30,80.2
1/1/2021 20:45,116.7
1/1/2021 21:00,117.7
1/1/2021 21:15,88.5
1/1/2021 21:30,48.1
1/1/2021 21:45,60.4
1/1/2021 22:00,79.7
1/1/2021 22:15,109.3
1/1/2021 22:30,119
1/1/2021 22:45,71.9
1/1/2021 23:00,43.7
1/1/2021 23:15,76.6
1/1/2021 23:30,72
1/1/2021 23:45,88.7
